sample_id,cluster
SED_S19S.0001_D_Field,sed_2
SED_S19S.0001_M_Field,sed_2
SED_S19S.0001_U_Field,sed_2
SED_S19S.0003_D_Field,sed_2
SED_S19S.0003_M_Field,sed_1
SED_S19S.0003_U_Field,sed_2
SED_S19S.0004_M_Field,sed_0
SED_S19S.0006_D_Field,sed_2
SED_S19S.0006_M_Field,sed_2
SED_S19S.0006_U_Field,sed_2
SED_S19S.0008_M_Field,sed_1
SED_S19S.0009_M_Field,sed_2
SED_S19S.0009_U_Field,sed_2
SED_S19S.0010_D_Field,sed_2
SED_S19S.0010_M_Field,sed_0
SED_S19S.0010_U_Field,sed_0
SED_S19S.0011_D_Field,sed_0
SED_S19S.0011_M_Field,sed_0
SED_S19S.0011_U_Field,sed_2
SED_S19S.0012_D_Field,sed_2
SED_S19S.0012_M_Field,sed_2
SED_S19S.0012_U_Field,sed_2
SED_S19S.0013_D_Field,sed_2
SED_S19S.0013_M_Field,sed_2
SED_S19S.0013_U_Field,sed_2
SED_S19S.0014_D_Field,sed_2
SED_S19S.0014_M_Field,sed_2
SED_S19S.0014_U_Field,sed_2
SED_S19S.0015_D_Field,sed_0
SED_S19S.0015_U_Field,sed_2
SED_S19S.0016_D_Field,sed_2
SED_S19S.0016_M_Field,sed_2
SED_S19S.0016_U_Field,sed_0
SED_S19S.0017_D_Field,sed_2
SED_S19S.0017_M_Field,sed_2
SED_S19S.0017_U_Field,sed_2
SED_S19S.0018_D_Field,sed_0
SED_S19S.0018_M_Field,sed_0
SED_S19S.0018_U_Field,sed_0
SED_S19S.0019_D_Field,sed_2
SED_S19S.0019_M_Field,sed_2
SED_S19S.0019_U_Field,sed_2
SED_S19S.0020_D_Field,sed_2
SED_S19S.0020_M_Field,sed_2
SED_S19S.0020_U_Field,sed_0
SED_S19S.0021_D_Field,sed_2
SED_S19S.0021_M_Field,sed_2
SED_S19S.0021_U_Field,sed_2
SED_S19S.0022_D_Field,sed_2
SED_S19S.0022_M_Field,sed_2
SED_S19S.0022_U_Field,sed_2
SED_S19S.0023_D_Field,sed_0
SED_S19S.0023_M_Field,sed_2
SED_S19S.0023_U_Field,sed_0
SED_S19S.0024_D_Field,sed_1
SED_S19S.0024_M_Field,sed_0
SED_S19S.0025_D_Field,sed_0
SED_S19S.0025_M_Field,sed_2
SED_S19S.0025_U_Field,sed_2
SED_S19S.0026_M_Field,sed_2
SED_S19S.0026_U_Field,sed_2
SED_S19S.0027_D_Field,sed_2
SED_S19S.0027_M_Field,sed_2
SED_S19S.0027_U_Field,sed_0
SED_S19S.0028_D_Field,sed_0
SED_S19S.0029_D_Field,sed_2
SED_S19S.0029_M_Field,sed_0
SED_S19S.0029_U_Field,sed_2
SED_S19S.0030_M_Field,sed_1
SED_S19S.0030_U_Field,sed_2
SED_S19S.0031_D_Field,sed_2
SED_S19S.0031_M_Field,sed_2
SED_S19S.0031_U_Field,sed_2
SED_S19S.0032_D_Field,sed_0
SED_S19S.0032_M_Field,sed_2
SED_S19S.0032_U_Field,sed_2
SED_S19S.0033_M_Field,sed_2
SED_S19S.0033_U_Field,sed_2
SED_S19S.0034_D_Field,sed_2
SED_S19S.0034_M_Field,sed_0
SED_S19S.0034_U_Field,sed_2
SED_S19S.0035_M_Field,sed_2
SED_S19S.0035_U_Field,sed_2
SED_S19S.0036_D_Field,sed_0
SED_S19S.0036_M_Field,sed_0
SED_S19S.0036_U_Field,sed_0
SED_S19S.0037_D_Field,sed_2
SED_S19S.0037_U_Field,sed_0
SED_S19S.0038_D_Field,sed_2
SED_S19S.0038_M_Field,sed_2
SED_S19S.0038_U_Field,sed_2
SED_S19S.0039_D_Field,sed_2
SED_S19S.0039_M_Field,sed_2
SED_S19S.0039_U_Field,sed_2
SED_S19S.0040_M_Field,sed_0
SED_S19S.0040_U_Field,sed_2
SED_S19S.0041_D_Field,sed_2
SED_S19S.0041_M_Field,sed_0
SED_S19S.0041_U_Field,sed_2
SED_S19S.0042_D_Field,sed_2
SED_S19S.0042_M_Field,sed_0
SED_S19S.0042_U_Field,sed_2
SED_S19S.0043_D_Field,sed_0
SED_S19S.0043_M_Field,sed_2
SED_S19S.0043_U_Field,sed_2
SED_S19S.0044_D_Field,sed_2
SED_S19S.0044_M_Field,sed_2
SED_S19S.0044_U_Field,sed_2
SED_S19S.0045_M_Field,sed_1
SED_S19S.0046_D_Field,sed_0
SED_S19S.0047_D_Field,sed_0
SED_S19S.0049_D_Field,sed_0
SED_S19S.0049_M_Field,sed_0
SED_S19S.0049_U_Field,sed_2
SED_S19S.0050_D_Field,sed_0
SED_S19S.0050_M_Field,sed_0
SED_S19S.0050_U_Field,sed_2
SED_S19S.0051_M_Field,sed_0
SED_S19S.0051_U_Field,sed_1
SED_S19S.0052_D_Field,sed_0
SED_S19S.0052_M_Field,sed_0
SED_S19S.0052_U_Field,sed_2
SED_S19S.0053_D_Field,sed_2
SED_S19S.0053_M_Field,sed_2
SED_S19S.0053_U_Field,sed_2
SED_S19S.0054_D_Field,sed_2
SED_S19S.0054_M_Field,sed_2
SED_S19S.0054_U_Field,sed_0
SED_S19S.0055_D_Field,sed_0
SED_S19S.0055_M_Field,sed_0
SED_S19S.0055_U_Field,sed_0
SED_S19S.0056_D_Field,sed_2
SED_S19S.0056_M_Field,sed_2
SED_S19S.0056_U_Field,sed_2
SED_S19S.0057_D_Field,sed_0
SED_S19S.0057_M_Field,sed_0
SED_S19S.0057_U_Field,sed_0
SED_S19S.0058_D_Field,sed_0
SED_S19S.0058_U_Field,sed_2
SED_S19S.0059_D_Field,sed_1
SED_S19S.0059_M_Field,sed_0
SED_S19S.0059_U_Field,sed_1
SED_S19S.0060_D_Field,sed_0
SED_S19S.0060_M_Field,sed_2
SED_S19S.0060_U_Field,sed_2
SED_S19S.0061_D_Field,sed_2
SED_S19S.0061_M_Field,sed_2
SED_S19S.0061_U_Field,sed_1
SED_S19S.0062_D_Field,sed_2
SED_S19S.0062_M_Field,sed_2
SED_S19S.0062_U_Field,sed_2
SED_S19S.0063_D_Field,sed_1
SED_S19S.0063_M_Field,sed_2
SED_S19S.0063_U_Field,sed_0
SED_S19S.0064_D_Field,sed_2
SED_S19S.0064_M_Field,sed_2
SED_S19S.0064_U_Field,sed_1
SED_S19S.0065_D_Field,sed_2
SED_S19S.0065_M_Field,sed_2
SED_S19S.0065_U_Field,sed_2
SED_S19S.0066_D_Field,sed_2
SED_S19S.0066_M_Field,sed_2
SED_S19S.0066_U_Field,sed_2
SED_S19S.0067_D_Field,sed_0
SED_S19S.0067_M_Field,sed_2
SED_S19S.0068_M_Field,sed_2
SED_S19S.0068_U_Field,sed_2
SED_S19S.0069_D_Field,sed_2
SED_S19S.0069_M_Field,sed_2
SED_S19S.0069_U_Field,sed_2
SED_S19S.0070_D_Field,sed_2
SED_S19S.0070_M_Field,sed_2
SED_S19S.0070_U_Field,sed_2
SED_S19S.0071_M_Field,sed_2
SED_S19S.0071_U_Field,sed_0
SED_S19S.0072_M_Field,sed_2
SED_S19S.0072_U_Field,sed_2
SED_S19S.0073_D_Field,sed_2
SED_S19S.0073_M_Field,sed_2
SED_S19S.0073_U_Field,sed_2
SED_S19S.0074_M_Field,sed_2
SED_S19S.0074_U_Field,sed_2
SED_S19S.0075_D_Field,sed_0
SED_S19S.0075_M_Field,sed_2
SED_S19S.0076_D_Field,sed_0
SED_S19S.0076_M_Field,sed_0
SED_S19S.0076_U_Field,sed_2
SED_S19S.0077_M_Field,sed_2
SED_S19S.0077_U_Field,sed_2
SED_S19S.0078_D_Field,sed_2
SED_S19S.0078_M_Field,sed_2
SED_S19S.0078_U_Field,sed_2
SED_S19S.0079_D_Field,sed_1
SED_S19S.0080_D_Field,sed_2
SED_S19S.0080_M_Field,sed_2
SED_S19S.0080_U_Field,sed_0
SED_S19S.0081_M_Field,sed_2
SED_S19S.0081_U_Field,sed_0
SED_S19S.0082_D_Field,sed_2
SED_S19S.0082_M_Field,sed_2
SED_S19S.0082_U_Field,sed_0
SED_S19S.0083_D_Field,sed_2
SED_S19S.0083_M_Field,sed_0
SED_S19S.0084_D_Field,sed_2
SED_S19S.0084_M_Field,sed_0
SED_S19S.0084_U_Field,sed_2
SED_S19S.0085_D_Field,sed_0
SED_S19S.0085_M_Field,sed_0
SED_S19S.0086_D_Field,sed_0
SED_S19S.0086_M_Field,sed_2
SED_S19S.0086_U_Field,sed_2
SED_S19S.0087_D_Field,sed_1
SED_S19S.0087_U_Field,sed_1
SED_S19S.0089_D_Field,sed_0
SED_S19S.0089_U_Field,sed_0
SED_S19S.0090_D_Field,sed_2
SED_S19S.0090_M_Field,sed_2
SED_S19S.0090_U_Field,sed_2
SED_S19S.0091_D_Field,sed_0
SED_S19S.0091_U_Field,sed_0
SED_S19S.0092_D_Field,sed_0
SED_S19S.0092_M_Field,sed_1
SED_S19S.0092_U_Field,sed_0
SED_S19S.0093_D_Field,sed_0
SED_S19S.0093_M_Field,sed_1
SED_S19S.0093_U_Field,sed_1
SED_S19S.0094_D_Field,sed_0
SED_S19S.0094_M_Field,sed_0
SED_S19S.0094_U_Field,sed_2
SED_S19S.0096_M_Field,sed_0
SED_S19S.0097_D_Field,sed_0
SED_S19S.0097_M_Field,sed_0
SED_S19S.0097_U_Field,sed_0
SED_S19S.0099_D_Field,sed_0
SED_S19S.0099_M_Field,sed_0
SED_S19S.0099_U_Field,sed_2
SED_S19S.0100_D_Field,sed_2
SED_S19S.0100_M_Field,sed_2
SED_S19S.0100_U_Field,sed_2
