,Average,Least,Most,Class
C14H26O9S,4,37,59,AminoSugar
C13H22O2,13,34,53,Lipid
C14H27O8N2P,43,32,25,AminoSugar
C12H26O10S,14,31,55,Carb
C14H25O9N2P,40,31,29,AminoSugar
C14H27O9N2P,42,31,27,AminoSugar
C18H22O7N2,37,31,31,Lignin
C16H34O5N2,37,30,33,Protein
C16H27O6N,18,29,54,Protein
C16H7O6N3S,32,29,39,ConHC
C18H17O7N3S,40,29,31,Lignin
C18H37O6P,43,29,29,Protein
C14H24O9S,7,29,64,AminoSugar
C18H35O9P,32,28,40,Protein
C14H27O10N2P,42,28,30,Carb
C10H23O10SP,43,27,30,Other
C14H25O8N2P,49,27,24,AminoSugar
C16H33O12S2P,41,26,32,Carb
C17H33O5N2P,59,26,15,Lipid
C19H41O4P,44,26,29,Lipid
C44H47OSP,30,26,44,UnsatHC
C29H37O13P,84,6,9,Lignin
C27H33O13P,82,11,7,Lignin
C29H37O11P,82,6,12,Lignin
C20H40O19N4,80,7,13,Carb
C19H43O12N2S2P,79,7,14,Other
C20H40O18N4,79,9,12,Carb
C24H27O12P,79,5,16,Lignin
C18H21O15N,78,0,22,Tannin
C27H33O14P,78,4,18,Lignin
C26H31O11P,77,8,15,Lignin
C26H31O13P,77,5,18,Lignin
C23H25O12P,75,6,19,Lignin
C25H29O12P,75,4,21,Lignin
C18H19O14P,74,0,26,Tannin
C28H37O9P,74,6,19,Lignin
C29H37O12P,74,5,21,Lignin
C30H16O7,74,4,23,ConHC
C30H34O10,74,4,22,Lignin
C36H28O5,74,9,17,ConHC
C36H28O7,73,3,23,ConHC
C12H18O3,0,0,100,Lipid
C25H40O10,0,0,100,Protein
C11H8O8S,0,0,100,ConHC
C12H10O6S,0,0,100,Lignin
C12H10O9S,0,0,100,Tannin
C12H7O6N,0,0,100,ConHC
C12H8O6N2,0,0,100,ConHC
C13H10O7S,0,0,100,ConHC
C13H12O10S,0,0,100,Tannin
C13H7O8N,0,0,100,ConHC
C14H16O11S,0,0,100,Tannin
C15H12O8S,0,0,100,Lignin
C15H14O6S,0,0,100,Lignin
C15H9O7N,0,0,100,ConHC
C16H14O8S,0,0,100,Lignin
C16H9O8N,0,0,100,ConHC
C17H16O12S,0,0,100,Tannin
C9H8O6S,0,0,100,Tannin
C11H10O8S,0,1,99,Tannin
C12H10O8S,1,0,99,Tannin
C15H9O8N,0,1,99,ConHC
